startupsci/titanic-data-science-solutions,31521,17,Feature Engineering%Model Comparison,2023
pmarcelino/comprehensive-data-exploration-with-python,18563,78,pandas%Matplotlib%NumPy%Seaborn%Beginner,1635
startupsci/titanic-data-science-solutions,31521,17,Feature Engineering%Model Comparison,2023
serigne/stacked-regressions-top-4-on-leaderboard,8318,60,Data Cleaning%Feature Engineering%Model Comparison%Ensembling,1032
yassineghouzam/introduction-to-cnn-keras-0-997-top-6,9914,18,Beginner%CNN,967
arthurtok/introduction-to-ensembling-stacking-in-python,12386,95,XGBoost%Ensembling,1014
ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,8595,73,Beginner%Data Visualization%Feature Engineering,635
willkoehrsen/start-here-a-gentle-introduction,7481,17,Beginner%Exploratory Data Analysis%Classification,534
yassineghouzam/titanic-top-4-with-ensemble-modeling,3235,7,Classification%Feature Engineering,388
gzuidhof/full-preprocessing-tutorial,3414,19,Programming,485
ash316/eda-to-prediction-dietanic,2763,46,Data Visualization%Exploratory Data Analysis%Classification%Model Comparison%Ensembling,310
abhishek/approaching-almost-any-nlp-problem-on-kaggle,2337,6,pandas%NumPy%sklearn%Keras%Feature Engineering,206
jagangupta/time-series-basics-exploring-traditional-ts,2796,6,Beginner,161
dansbecker/submitting-from-a-kernel,3044,9,Education%Learn,485
apapiu/regularized-linear-models,3997,24,Beginner%XGBoost%Linear Regression,326
gunesevitan/titanic-advanced-feature-engineering-tutorial,1884,124,pandas%Matplotlib%NumPy%Seaborn%Beginner,287
anokas/data-analysis-xgboost-starter-0-35460-lb,2584,12,Data Visualization%Exploratory Data Analysis%XGBoost%NLP%Intermediate,165
omarelgabry/a-journey-through-titanic,8329,6,Beginner%Exploratory Data Analysis%Random Forest%Logistic Regression,415
masumrumi/a-statistical-analysis-ml-workflow-of-titanic,1832,130,Beginner%Data Visualization%Exploratory Data Analysis,280
tanulsingh077/twitter-sentiment-extaction-analysis-eda-and-model,1066,31,Beginner%Data Visualization%Exploratory Data Analysis%NLP,119
deffro/eda-is-fun,1115,7,Data Visualization%Exploratory Data Analysis%Feature Engineering%Video Games,184
rohanrao/tutorial-on-reading-large-datasets,490,5,Beginner%Tabular Data,102
dansbecker/handling-missing-values,10929,20,,434
tanulsingh077/deep-learning-for-nlp-zero-to-transformers-bert,899,7,Beginner%Deep Learning%NLP%Transfer Learning,78
gpreda/santander-eda-and-prediction,2023,15,Exploratory Data Analysis%Classification%Feature Engineering,189
shahules/basic-eda-cleaning-and-glove,1205,23,Exploratory Data Analysis%Data Cleaning%NLP,146
sinakhorami/titanic-best-working-classifier,1850,15,,189
kanncaa1/pytorch-tutorial-for-deep-learning-lovers,2090,73,Programming%Beginner%Exploratory Data Analysis%Deep Learning,111
gunesevitan/nlp-with-disaster-tweets-eda-cleaning-and-bert,1707,14,Beginner%Exploratory Data Analysis%Classification%NLP,202
keegil/keras-u-net-starter-lb-0-277,3376,8,,163
sudalairajkumar/simple-exploration-notebook-zillow-prize,1974,19,Data Visualization%Exploratory Data Analysis%Real Estate,131
artgor/eda-and-models,1933,37,Business%Data Visualization%Exploratory Data Analysis%Classification%Feature Engineering,217
nadintamer/titanic-survival-predictions-beginner,1859,51,Beginner%Data Visualization%Data Cleaning,264
christofhenkel/how-to-preprocessing-when-using-embeddings,871,3,Beginner%Deep Learning%NLP,101
sudalairajkumar/a-look-at-different-embeddings,1920,4,,110
sudalairajkumar/simple-exploration-baseline-ga-customer-revenue,2692,15,Data Visualization%Exploratory Data Analysis%Finance,162
jhoward/nb-svm-strong-linear-baseline,2412,18,Beginner%NLP%Linguistics,148
poonaml/deep-neural-network-keras-way,3015,37,Deep Learning%CNN,195
davids1992/speech-representation-and-data-exploration,1776,44,Beginner%Data Visualization,110
dster/two-sigma-news-official-getting-started-kernel,4724,3,Beginner%Business%Investing%Finance%News,142
artgor/eda-feature-engineering-and-everything,2265,55,Data Visualization%Exploratory Data Analysis%Feature Engineering%NLP%News,170
dlarionov/feature-engineering-xgboost,2959,5,Beginner%Feature Engineering%XGBoost,236
dansbecker/xgboost,2927,13,XGBoost%Gradient Boosting,10
kabure/extensive-eda-and-modeling-xgb-hyperopt,1015,33,pandas%Matplotlib%NumPy%Seaborn%Beginner,186
carlmcbrideellis/jane-street-eda-of-day-0-and-feature-importance,909,93,Exploratory Data Analysis%Finance,150
juliencs/a-study-on-regression-applied-to-the-ames-dataset,1610,6,,137
thykhuely/mercari-interactive-eda-topic-modelling,2287,42,Data Visualization%Exploratory Data Analysis,92
jiashenliu/introduction-to-financial-concepts-and-data,2367,23,pandas%NumPy%Investing%Plotly%Finance,128
parulpandey/10-simple-hacks-to-speed-up-your-data-analysis,285,8,Beginner%Data Visualization,196
go1dfish/clear-mask-visualization-and-simple-eda,1126,12,pandas%Matplotlib%NumPy%Seaborn%Data Visualization,96
subinium/simple-matplotlib-visualization-tips,423,22,Programming%Data Visualization,133
caesarlupum/ashrae-start-here-a-gentle-introduction,992,50,pandas%Matplotlib%Seaborn%Beginner%Business,239
lavanyashukla01/how-i-made-top-0-3-on-a-kaggle-competition,1170,31,Exploratory Data Analysis%Feature Engineering%Regression%Daily Challenge,120
codename007/home-credit-complete-eda-feature-importance,2416,27,Beginner%Data Visualization%Exploratory Data Analysis%Binary Classification,144
rafjaa/resampling-strategies-for-imbalanced-datasets,840,12,Beginner%Feature Engineering%Binary Classification,73
ratthachat/aptos-eye-preprocessing-in-diabetic-retinopathy,1058,15,Data Visualization%Exploratory Data Analysis%Data Cleaning%Eyes and Vision,147
arthurtok/spooky-nlp-and-topic-modelling-tutorial,1421,90,,165
allunia/protein-atlas-exploration-and-baseline,1975,217,Programming%Beginner%Exploratory Data Analysis,172
dansbecker/using-categorical-data-with-one-hot-encoding,3084,10,,186
allunia/shaking-earth,674,89,Exploratory Data Analysis%Geology,140
sentdex/first-pass-through-data-w-3d-convnet,1102,10,CNN%Advanced,171
abhinand05/bert-for-humans-tutorial-baseline,1013,7,GPU,76
helgejo/an-interactive-data-science-tutorial,7036,14,,102
uysimty/keras-cnn-dog-or-cat-classification,2834,32,Beginner%Classification%Software%CNN%Binary Classification,148
shonenkov/training-efficientdet,2347,4,GPU%Deep Learning%Computer Vision%Research%Computer Science,190
robikscube/m5-forecasting-starter-data-exploration,914,36,,81
arthurtok/interactive-intro-to-dimensionality-reduction,2122,88,PCA%Dimensionality Reduction,122
jesperdramsch/intro-to-seismic-salt-and-how-to-geophysics,1583,8,Beginner%Deep Learning%Geology,118
saga21/covid-global-forecast-sir-model-ml-regressions,1511,75,Beginner%Exploratory Data Analysis%Feature Engineering%Coronavirus,241
dansbecker/selecting-and-filtering-in-pandas,4320,7,Learn,4
